"director";"title";"country";"description";"release_year";"duration";"listed_in";"cast"
"Sonia Lowman";"Teach Us All";"United States";"It's been decades since Brown v. Board of Education, yet American schools remain largely segregated. Some leaders are working to change that.";2017;81;"Documentaries";NA
"Leena Yadav";"Teen Patti";"India";"Luck brings together math expert Perci Trachtenberg and obscure genius Venkat Subramaniam in a casino, but the foundations of probability may be utterly altered when their chat leads Subramaniam to try a new theory in the gambling dens of Mumbai.";2010;137;"Dramas, International Movies, Thrillers";"Amitabh Bachchan, Madhavan, Ben Kingsley, Shraddha Kapoor, Siddharth Kher, Dhruv Ganesh, Vaibhav Talwar"
"Natalia Garagiola";"Temporada de Caza";"Argentina, France, United States, Germany, Qatar";"Animosity gives way to love and forgiveness when an angry teenager reunites with his estranged biological father in the wilds of Patagonia.";2017;108;"Dramas, International Movies";"Germán Palacios, Lautaro Bettoni, Boy Olmi, Rita Pauls, Pilar Benitez Vibart, Diana Szeinblum"
"Antoinette Jadaone";"That Thing Called Tadhana";"Philippines";"A devastating breakup with her boyfriend may be the start of a new beginning for Mace, thanks to an adventurous and kind stranger named Anthony.";2015;91;"Dramas, International Movies, Romantic Movies";"Angelica Panganiban, JM de Guzman"
"Mitzi Vanessa Arreola, Amir Galvan Cervera";"The 4th Company";"Mexico, Spain";"In a violent prison in 1970s Mexico, a young inmate lands a spot on a football team that doubles as an enforcer squad for a corrupt administration.";2016;117;"Action & Adventure, Dramas, International Movies";"Adrian Ladron, Andoni Gracia, Hernán Mendoza, Gabino Rodríguez, Darío T. Pie, Manuel Ojeda"
"Pamela Romanowsky";"The Adderall Diaries";"United States";"Author Stephen Elliott has a problem separating his own life from incidents in the life of a convicted murderer about whom he's writing a book.";2015;87;"Dramas, Thrillers";"James Franco, Ed Harris, Amber Heard, Jim Parrack, Timothée Chalamet, Wilmer Valderrama, Cynthia Nixon, Christian Slater, Michael Cristofer, Danny Flaherty, Adam LeFevre"
"Elisa Fuksas";"The App";"Italy";"While in Rome to shoot his first movie, actor and industrial heir Nick becomes obsessed with a dating app that sends him into a self-destructive spiral.";2019;79;"Dramas, Independent Movies, International Movies";"Vincenzo Crea, Jessica Cressy, Greta Scarano, Maya Sansa, Abel Ferrara, Anita Kravos"
"Monica Floyd";"The App That Stole Christmas";"United States";"A tech entrepreneur's Christmas shopping app is a smashing success, but he starts to realize his invention might be ruining the holiday spirit.";2020;64;"Children & Family Movies, Comedies";"Jackie Long, Diane Marie Howard, Jaylin Hall, Miguel A. Núñez Jr., Ray J, JayQ The Legend, J. Anthony Brown, Kenny Rhodes, Amber Cosich"
"Ana Lily Amirpour";"The Bad Batch";"United States";"Banished to a wasteland of undesirables, a young woman struggles to find her feet among a drug-soaked desert society and an enclave of cannibals.";2016;119;"Dramas, Independent Movies, Thrillers";"Suki Waterhouse, Jason Momoa, Keanu Reeves, Jim Carrey, Giovanni Ribisi, Yolonda Ross"
"Estela Renner";"The Beginning of Life";NA;"Scientists, advocates and parents around the world explore how carefully tending to kids' earliest needs can shape the course of human society.";2016;96;"Documentaries, International Movies";NA
"Renata Terra";"The Beginning of Life 2: Outside";"Brazil";"As urbanization expands throughout society, this documentary discusses the value of finding ways for children to forge real connections with nature.";2020;92;"Documentaries, International Movies";NA
"D Ho";"The Bittersweet";"China";"As a killer stalks the streets, a troubled young courier suspects that a doctor may be the long-lost sister he hasn't seen since childhood.";2017;98;"Action & Adventure, Dramas, International Movies";"Min-ho Lee, Zhu Xuan"
"Bolanle Austen-Peters";"The Bling Lagosians";"Nigeria";"With a matriarch bent on having a lavish 51st birthday party, her family's debt is on the verge of exposure, threatening their business – and legacy.";2019;99;"Dramas, International Movies";"Gbenga Titiloye, Elvina Ibru, Sharon Ooja, Osas Ighodaro Ajibade, Monalisa Chinda, Toyin Abraham, Bisola Aiyeola, Oladele Ogunlana, Jimmy Odukoya, Alex Ekubo"
"Sofia Coppola";"The Bling Ring";"United States, United Kingdom, France, Germany, Japan";"Based on fact, this comic thriller tracks the saga of the Hollywood Hills Burglar Bunch, who used the Web to time their robberies of stars' homes.";2013;91;"Dramas, Independent Movies";"Emma Watson, Leslie Mann, Carlos Miranda, Israel Broussard, Taissa Farmiga, Katie Chang, Georgia Rock, Claire Julien"
"Nora Twomey";"The Breadwinner";"Ireland, Canada, Luxembourg, United States, United Kingdom, Philippines, India";"A courageous 11-year-old Afghan girl disguises herself as a boy and takes on odd jobs to provide for her family when her father is arrested.";2017;93;"Children & Family Movies, Dramas, International Movies";"Saara Chaudry, Soma Chhaya, Ali Badshah, Soma Bhatia, Shaista Latif, Laara Sadiq, Kawa Ada, Noorin Gulamgaus"
"Meghan O'Hara";"The C Word";"United States";"To solve the mystery of cancer, challenging the status quo is a must. Witness how lifestyle and societal changes may help beat the disease.";2016;93;"Documentaries";"Morgan Freeman"
"Sue Ding";"The Claudia Kishi Club";"United States";"Asian American creatives pay passionate tribute to the iconic, stereotype-busting ""Baby-Sitters Club"" character in this heartfelt documentary short.";2020;17;"Documentaries";NA
"Jennifer Beamish, Toby Trackman";"The Creative Brain";"United States";"Neuroscientist David Eagleman taps into the creative process of various innovators while exploring brain-bending, risk-taking ways to spark creativity.";2019;53;"Documentaries";"David Eagleman"
"Cecilia Atán, Valeria Pivato";"The Desert Bride";"Argentina, Chile";"While traveling across Argentina to a new job, a longtime maid encounters a salesman who opens her eyes to life's beauty and possibilities.";2017;78;"Dramas, International Movies";"Paulina García, Claudio Rissi"
"Stephanie Soechtig, Jeremy Seifert";"The Devil We Know";"United States";"This documentary details DuPont's alleged decades-long cover-up of the potential harm caused by chemicals used to make popular Teflon products.";2018;88;"Documentaries";NA
"Bette Gordon";"The Drowning";"United States, Hong Kong";"Child psychologist Tom Seymour's testimony helped convict a boy of murder. Years later, their paths cross again, raising uncomfortable questions.";2016;99;"Thrillers";"Josh Charles, Julia Stiles, Avan Jogia, Tracie Thoms, Leo Fitzpatrick, Mike Houston, Jasper Newell"
"Petra Costa";"The Edge of Democracy";"Brazil";"Political documentary and personal memoir collide in this exploration into the complex truth behind the unraveling of two Brazilian presidencies.";2019;122;"Documentaries, International Movies";NA
"Nia Dinata";"The Gathering";"Indonesia";"Between divorce, bad relationships and coming out as gay, a group of affluent friends realize that none of their lives are as easy as they seem.";2003;124;"Comedies, Dramas, International Movies";"Cut Mini Theo, Tora Sudiro, Aida Nurmala, Surya Saputra, Rachel Maryam Sayidina, Trey Gondokusumo, Lili Harahap, Aurora Yahya, Wilza Lubis, Nico Siahaan"
"Alice Wu";"The Half Of It";"United States";"When smart but cash-strapped teen Ellie Chu agrees to write a love letter for a jock, she doesn't expect to become his friend — or fall for his crush.";2020;105;"Comedies, Dramas, LGBTQ Movies";"Leah Lewis, Daniel Diemer, Alexxis Lemire, Wolfgang Novogratz, Collin Chou, Becky Ann Baker, Enrique Murciano, Macintyre Dixon, Catherine Curtin"
"Maya Gallus";"The Heat: A Kitchen (R)evolution";"Canada";"Seven female chefs describe what it’s like breaking into the restaurant industry's notorious boys' club.";2018;71;"Documentaries";NA
"Zoe Berriatúa";"The Heroes of Evil";"Spain";"Three teenage misfits find camaraderie in sex, violence and petty crime. But what starts as a lark soon threatens to damage them beyond repair.";2015;99;"Dramas, International Movies";"Emilio Palacios, Jorge Clemente, Beatriz Medina, Macarena Gómez, Olivia Baglivi, Paula Soldevila, Nacho Coronado, Beatriz Olivares"
"Cathy Garcia-Molina";"The Hows of Us";"Philippines";"A young couple's house was once a happy home. But with one as the breadwinner and the other looking for a big break, can love still live here?";2018;120;"Dramas, International Movies, Romantic Movies";"Kathryn Bernardo, Daniel Padilla, Darren Espanto, Jean Garcia, Susan Africa, Ria Atayde, Kit Thompson, Odette Khan, Alwyn Uytingco, Juan Miguel Severo"
"Kim Nguyen";"The Hummingbird Project";"Canada, Belgium";"After discovering a shortcut that gives them a technological advantage, two cousins look to earn their big score by outracing a massive corporation.";2018;111;"Dramas, Independent Movies";"Jesse Eisenberg, Alexander Skarsgård, Salma Hayek, Michael Mando, Sarah Goldberg, Anna Maguire, Frank Schorpion, Johan Heldenbergh, Kwasi Songui, Ayisha Issa"
"Karyn Kusama";"The Invitation";"United States";"A man accepts an invitation to a dinner party hosted by his ex-wife, an unsettling affair that reopens old wounds and creates new tensions.";2015;100;"Horror Movies, Independent Movies, Thrillers";"Logan Marshall-Green, Emayatzy Corinealdi, Aiden Lovekamp, Michelle Krusiec, Mike Doyle, Jordi Vilasuso, Jay Larson, Marieh Delfino, Tammy Blanchard, Michiel Huisman, Lindsay Burdge, John Carroll Lynch"
"Phyllida Lloyd";"The Iron Lady";"United Kingdom, France";"Margaret Thatcher, the first female prime minister of Britain, navigates a career destined to change the rules of leadership and politics.";2011;105;"Dramas, International Movies";"Meryl Streep, Jim Broadbent, Alexandra Roach, Harry Lloyd, Olivia Colman, Iain Glen, Victoria Bewick, Nicholas Farrell, John Sessions, Anthony Head, David Westhead, Julian Wadham, Richard E. Grant, Angus Wright, Roger Allam, Michael Pennington, Susan Brown, Phoebe Waller-Bridge"
"Toka McBaror";"The Island";"Nigeria";"When a colonel uncovers controversial intel about the government, he makes a shocking discovery and must decide whether to reveal it or risk his life.";2018;93;"Dramas, International Movies, Thrillers";"Sambasa Nzeribe, Segun Arinze, Tokunbo Idowu, Femi Adebayo"
"Bronwen Hughes";"The Journey Is the Destination";"United States";"Spirited 22-year-old activist and photojournalist Dan Eldon rushes to the frontline of a dangerous relief effort for Somalian refugees in this biopic.";2016;123;"Dramas";"Ben Schnetzer, Kelly Macdonald, Sam Hazeldine, Ella Purnell, Maria Bello, Yusra Warsama"
"Karen Moncrieff";"The Keeping Hours";"United States";"Years after the death of their only child and subsequent divorce, a couple discovers that their son's ghost continues to inhabit their former home.";2017;95;"Dramas, Thrillers";"Lee Pace, Carrie Coon, Sander Thomas, Amy Smart, Ray Baker, Ana Ortiz, Molly Hagan, Christina Vidal, Anna Diop, Jane Daly, Cliff Chamberlain"
"Sara Colangelo";"The Kindergarten Teacher";"United States, Israel, United Kingdom, Canada";"A devoted teacher takes interest in a young student's creative potential after hearing his poetry. But she soon crosses the line into obsession.";2018;97;"Dramas, Independent Movies";"Maggie Gyllenhaal, Parker Sevak, Gael García Bernal, Michael Chernus, Anna Baryshnikov, Rosa Salazar, Ajay Naidu"
"Randa Chahal Sabbag";"The Kite";"Lebanon, France";"In an occupied village, a teen girl is set to wed a stranger. But when she crosses over to meet her betrothed, her heart gets entangled at the border.";2003;76;"Dramas, International Movies, Romantic Movies";"Flavia Bechara, Maher Bsaibes, Randa Asmar, Renée Dick, Julia Kassar, Liliane Nemri, Ziad Rahbani, Nayef Naji, Edmond Haddad, Alia Nemry"
"Monika Mitchell";"The Knight Before Christmas";"United States";"Medieval magic sends a 14th-century knight to modern-day Ohio, where he falls for a high school science teacher who's disillusioned by love.";2019;93;"Children & Family Movies, Comedies, Romantic Movies";"Vanessa Hudgens, Josh Whitehouse, Emmanuelle Chriqui, Harry Jarvis, Mimi Gianopulos, Ella Kenion, Jean-Michel Le Gal, Arnold Pinnock"
"Nicole Holofcener";"The Land of Steady Habits";"United States";"After leaving his wife and his job to find happiness, Anders begins a clumsy, heartbreaking quest to reassemble the pieces of his fractured life.";2018;98;"Comedies, Dramas, Independent Movies";"Ben Mendelsohn, Edie Falco, Connie Britton, Thomas Mann, Bill Camp, Elizabeth Marvel, Charlie Tahan, Michael Gaston, Josh Pais"
"Gillian Armstrong";"The Last Days of Chez Nous";"Australia";"Successful writer Beth's tepid marriage and home life face a new round of challenges when her footloose younger sister arrives for an extended visit.";1992;93;"Classic Movies, Dramas";"Lisa Harrow, Bruno Ganz, Kerry Fox, Miranda Otto, Kiri Paramore, Bill Hunter"
"Vibeke Idsøe";"The Lion Woman";"Norway, Germany";"A girl born with a condition that causes abnormal hair growth across her body tries to cope with the challenges of being different.";2016;118;"Dramas, International Movies";"Rolf Lassgård, Kjersti Tveterås, Rolf Kristian Larsen, Ole Johan Skjelbred-Knutsen, Karen-Lise Mynster, Ida Ursin-Holm, Lisa Loven Kongsli, Connie Nielsen, Henrik Mestad, Kåre Conradi, Mathilde Thomine Storm"
"Hannah Fidell";"The Long Dumb Road";"United States";"Bound for art school, a sheltered student gets roped into the antics of a freewheeling mechanic who hitches a ride after fixing his car.";2018;91;"Comedies, Independent Movies";"Tony Revolori, Jason Mantzoukas, Taissa Farmiga, Grace Gummer, Ciara Bravo, Casey Wilson, Pamela Reed, Ron Livingston"
"Vicky Wight";"The Lost Husband";"United States";"Looking to start anew, a widow retreats with her children to her aunt's goat farm, where the ranch's manager helps her navigate country life and loss.";2020;110;"Dramas, Romantic Movies";"Leslie Bibb, Josh Duhamel, Nora Dunn, Sharon Lawrence, Callie Hope Haverda, Roxton Garcia"
"Lilly Wachowski, Lana Wachowski";"The Matrix";"United States";"A computer hacker learns that what most people perceive as reality is actually a simulation created by machines, and joins a rebellion to break free.";1999;136;"Action & Adventure, Sci-Fi & Fantasy";"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving, Gloria Foster, Joe Pantoliano, Marcus Chong, Julian Arahanga, Matt Doran, Belinda McClory"
"Lilly Wachowski, Lana Wachowski";"The Matrix Reloaded";"United States";"The crew must protect Zion, the last outpost still under human control, after it is pinpointed by the machines responsible for the Matrix.";2003;138;"Action & Adventure, Sci-Fi & Fantasy";"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving, Jada Pinkett Smith, Gloria Foster, Harold Perrineau, Monica Bellucci, Harry Lennix, Lambert Wilson, Randall Duk Kim, Nona Gaye"
"Lilly Wachowski, Lana Wachowski";"The Matrix Revolutions";"United States";"The final installment in the Matrix trilogy finds an unconscious Neo trapped in a subway station in a zone between the Matrix and the machine world.";2003;129;"Action & Adventure, Sci-Fi & Fantasy";"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving, Jada Pinkett Smith, Mary Alice, Harold Perrineau, Monica Bellucci, Harry Lennix, Lambert Wilson, Nona Gaye"
"Chi Keung Fung";"The Midas Touch";"Hong Kong";"A debt collector takes over the management of a group of starlets after their talent agent defaults on a loan, but soon finds he's in over his head.";2013;98;"Comedies, International Movies";"Chapman To, Charlene Choi, Gao Yunxiang, Shatina Chen, Alice Li, Jiayu Xie, Jiemeng Zhuang, Venus Wong, Ching-Wan Hui, Jennifer Zhang"
"Toka McBaror, Tunde Apalowo";"The Millions";"Nigeria";"To pull off a massive heist, a charismatic con artist attempts to rob a fortified home with the help of a team he can't completely trust.";2019;95;"Comedies, International Movies";"Ramsey Nouah, Blossom Chukwujekwu, Ayo Makun, Nancy Isime, Ali Nuhu, Folusho Durojaiye, Toyin Abraham, Chika Lann, Broda Shaggi, Etinosa Idemudia"
"Olivia M. Lamasan";"The Mistress";"Philippines";"The mistress of a wealthy businessman is torn between her loyalty to him and her love for a young architect connected to her in unexpected ways.";2012;132;"Dramas, International Movies, Romantic Movies";"John Lloyd Cruz, Bea Alonzo, Hilda Koronel, Ronaldo Valdez, Anita Linda, Carmi Martin"
"Carly Stone";"The New Romantic";"Canada";"Fed up with dating and debt, a naïve college senior documents her experience of being with a wealthy, older man for a gonzo journalism grant.";2018;82;"Comedies, Independent Movies, Romantic Movies";"Timm Sharp, Hayley Law, Camila Mendes, Brett Dier, Jessica Barden, Avan Jogia"
"Gina Prince-Bythewood";"The Old Guard";"United States";"Four undying warriors who've secretly protected humanity for centuries become targeted for their mysterious powers just as they discover a new immortal.";2020;126;"Action & Adventure";"Charlize Theron, KiKi Layne, Marwan Kenzari, Luca Marinelli, Harry Melling, Van Veronica Ngo, Matthias Schoenaerts, Chiwetel Ejiofor"
"Mimi Leder";"The Peacemaker";"United States";"After terrorists trigger a nuclear blast in Russia, a U.S. Special Forces intelligence agent and a nuclear weapons expert come to the rescue.";1997;124;"Action & Adventure";"George Clooney, Nicole Kidman, Marcel Iures, Aleksandr Baluev, Rene Medvesek, Gary Werntz, Randall Batinkoff, Jim Haynie, Alexander Strobele, Holt McCallany"
"Mar Targarona";"The Photographer Of Mauthausen";"Spain";"A Catalán prisoner at a Nazi concentration camp uses his office job to steal photo negatives of the atrocities committed there. Based on true events.";2018;110;"Dramas, International Movies";"Mario Casas, Richard van Weyden, Alain Hernández, Adrià Salazar, Eduard Buch, Stefan Weinert, Rubén Yuste, Nikola Stojanovic, Frank Feys, Marc Rodríguez, Albert Mora, Luka Peros, Rainer Reiners, Toni Gomila, Emilio Gavira, Macarena Gómez"
"Peggy Holmes";"The Pirate Fairy";"United States";"In this spritely tale, Tinker Bell and her friends set out to find free-spirited fairy Zarina after she makes off with some precious Blue Pixie Dust.";2014;78;"Children & Family Movies";"Mae Whitman, Christina Hendricks, Tom Hiddleston, Lucy Liu, Raven-Symoné, Megan Hilty, Pamela Adlon, Angela Bartys, Jim Cummings, Carlos Ponce, Mick Wingert, Kevin Michael Richardson, Jeff Bennett, Rob Paulsen, Grey DeLisle, Kari Wahlgren, Jane Horrocks, Jesse McCartney, Anjelica Huston"
"Keerthi";"The Plan";"India";"After being sent to a remote prison, three young men suffer under the watchful eye of their jailer and make a meticulous plan to escape.";2015;124;"Dramas, International Movies, Thrillers";"Anant Nag, Koustubh Jayakumar, Hemanth, Shreeram, Jay, Sanath, Pramod Shetty, Harish Roy"
"Maya Forbes";"The Polka King";"United States";"Determined to make it big in America, Polish-born bandleader Jan Lewan draws his fans into a Ponzi scheme in this comedy based on a true story.";2018;94;"Comedies, Independent Movies";"Jack Black, Jenny Slate, Jason Schwartzman, Jacki Weaver, J.B. Smoove, Vanessa Bayer, Robert Capron, Willie Garson, Lew Schneider"
"Martha Coolidge";"The Prince & Me";"United States, Czech Republic";"A hardworking Wisconsin college student falls for her arrogant yet charming classmate, unaware that he's a Danish prince attending school incognito.";2004;111;"Comedies, Romantic Movies";"Julia Stiles, Luke Mably, Ben Miller, Miranda Richardson, James Fox, Alberta Watson, John Bourgeois, Zachary Knighton, Eliza Bennett"
"Na Hyeon";"The Prison";"South Korea";"A cop-turned-convict discovers a crime syndicate inside a prison lorded over by an inmate crime boss – and joins in on their nightly heists.";2017;125;"Action & Adventure, Dramas, International Movies";"Suk-kyu Han, Rae-won Kim, Kyeong-yeong Lee, Woong-in Jeong, Jae-yun Jo, Sung-rok Shin, Kim Sung-kyun, Kwak Min-ho"
"Laura Brownson";"The Rachel Divide";"United States";"Rachel Dolezal, her family and her critics reckon with the aftermath of a national debate sparked by questions about her racial identity.";2018;105;"Documentaries";NA
"Miriam Chandy Menacherry";"The Rat Race";"India";"Examine the troublesome coexistence of humans and rodents in Mumbai, where the byproducts of a big economy have led to a thriving rat population.";2010;52;"Documentaries, International Movies";NA
"Shaina Allen";"The Rebound";"United States";"This documentary follows three players on the Miami Heat Wheels, who face long odds on the way to the national wheelchair basketball championship.";2016;77;"Documentaries, Sports Movies";"Orlando Carrillo, Mario Moran, Jeremie Phenom Thomas"
"Alison MacLean";"The Rehearsal";"New Zealand";"A drama student is torn between creative possibility and ethical boundaries when his girlfriend's family gets caught up in a sex scandal.";2016;102;"Dramas, Independent Movies, International Movies";"James Rolleston, Kerry Fox, Ella Edwards, Alice Englert"
"Lisa Cortés, Farah X";"The Remix: Hip Hop X Fashion";"United States";"This documentary profiles Black visionaries in fashion who rewrote narratives on the runway and turned hip-hop style into a global phenomenon.";2019;67;"Documentaries, Music & Musicals";NA
"Choi Jin-seong";"The Reservoir Game";"South Korea";"An investigative reporter seeks to expose the whereabouts of a slush fund belonging to the former president of South Korea, Lee Myung-bak.";2017;100;"Documentaries, International Movies";NA
"Lone Scherfig";"The Riot Club";"United Kingdom";"After being drafted into an elite secret society, a pair of students at Oxford University see the group's extreme debauchery spiral out of control.";2014;107;"Dramas, International Movies";"Sam Claflin, Max Irons, Douglas Booth, Jessica Brown Findlay, Holliday Grainger, Natalie Dormer, Olly Alexander, Matthew Beard, Gordon Brown, Jack Farthing, Freddie Fox"
"Floria Sigismondi";"The Runaways";"United States";"This biopic charts the rise of the rebellious California girls who formed the 1970s rock group the Runaways, paving the way for future girl musicians.";2010;107;"Dramas, Independent Movies, Music & Musicals";"Kristen Stewart, Dakota Fanning, Michael Shannon, Stella Maeve, Scout Taylor-Compton, Alia Shawkat, Riley Keough, Johnny Lewis, Tatum O'Neal, Brett Cullen, Hannah Marks"
"Almudena Carracedo, Robert Bahar";"The Silence of Others";"Spain, France, Canada, United States";"Filmed over six years, this documentary captures the struggles of victims who suffered abuse under Gen. Francisco Franco's regime as they seek justice.";2019;96;"Documentaries, International Movies";NA
"Trish Sie";"The Sleepover";"United States";"What do you do if your parents are kidnapped by a crew of international thieves? You begin a wild overnight adventure — complete with spy gear.";2020;104;"Action & Adventure, Children & Family Movies, Comedies";"Sadie Stanley, Maxwell Simkins, Ken Marino, Malin Akerman, Cree Cicchino, Lucas Jaye, Karla Souza, Enuka Okuma, Erik Griffin, Joe Manganiello"
"Raja Gosnell";"The Smurfs";"United States, Belgium, Canada";"When evil Gargamel tries to capture them, the Smurfs flee their woodland home, pass through a magic portal and find themselves stranded in New York.";2011;103;"Children & Family Movies, Comedies";"Hank Azaria, Neil Patrick Harris, Jayma Mays, Sofía Vergara, Tim Gunn, Jonathan Winters, Katy Perry, Alan Cumming, Fred Armisen, George Lopez, Anton Yelchin, Kenan Thompson, Jeff Foxworthy, John Oliver, Wolfgang Puck, B.J. Novak, Paul Reubens"
"Raja Gosnell";"The Smurfs 2";"United States, France, Canada, Belgium";"Evil magician Gargamel continues his quest to tap the power of the Smurfs, creating a pair of his own ""Smurf-alikes"" called the Naughties.";2013;105;"Children & Family Movies, Comedies";"Neil Patrick Harris, Brendan Gleeson, Jayma Mays, Hank Azaria, Katy Perry, Christina Ricci, Jonathan Winters, J.B. Smoove, George Lopez, Anton Yelchin, Fred Armisen, Jacob Tremblay, Alan Cumming"
"Sue Kim";"The Speed Cubers";"United States";"This documentary captures the extraordinary twists and turns in the journeys of Rubik's Cube-solving champions Max Park and Feliks Zemdegs.";2020;41;"Documentaries";NA
"Lena Khan";"The Tiger Hunter";"United States";"It's 1979, and engineer Sami is excited to leave his Indian village for a job in Chicago. But he soon runs into problems achieving his American dream.";2016;94;"Comedies, Dramas, Independent Movies";"Danny Pudi, Jon Heder, Rizwan Manji, Karen David, Iqbal Theba, Sam Page, Kevin Pollak, Parvesh Cheena, Michael McMillian"
"Leanne Gater";"The Tigers of Scotland";"United Kingdom";"This documentary highlights the endangered existence of the Scottish wildcats, and the conservation efforts required to prevent their extinction.";2017;58;"Documentaries";"Iain Glen"
"Jennifer M. Kroot";"The Untold Tales of Armistead Maupin";"United States";"This documentary traces the life of ""Tales of the City"" author Armistead Maupin, from his conservative roots to his rise as an LGBTQ champion.";2017;91;"Documentaries, LGBTQ Movies";"Armistead Maupin, Neil Gaiman, Laura Linney, Ian McKellen, Amy Tan, Margaret Cho, Jonathan Groff, Amanda Palmer"
"Kemi Adetiba";"The Wedding Party";"Nigeria";"As their big day arrives, a couple's lavish wedding plans turn into a nightmare of exes, fighting parents and uninvited guests.";2016;101;"Comedies, Dramas, International Movies";"Adesua Etomi, Banky Wellington, Richard Mofe-Damijo, Sola Sobowale, Iretiola Doyle, Alibaba Akporobome, Zainab Balogun, Beverly Naya, Enyinna Nwigwe"
"Manika Sharma";"The Wishing Tree";"India";"Five children living on the edge of a forest band together to save a magical wishing tree from destruction and find their own paths to happiness.";2017;117;"Children & Family Movies, Dramas, Music & Musicals";"Shabana Azmi, Makrand Deshpande, Harshpreet Kaur, Aabhas Yadav, Shivani Joshi, Saurabh Shukla"
"Victoria Bromley";"The World's Most Wanted Animal";"United Kingdom";"A conservationist shares her emotional journey in helping save rare, scaly mammals that have been illegally trafficked and now face extinction.";2018;53;"Documentaries";"Maria Diekmann"
"Sze Yu Lau";"The Young Vagabond";"Hong Kong";"To avenge his master, a wine-loving young man steps up his fighting skills to defeat a powerful thief in a life-or-death match.";1985;85;"Action & Adventure, Comedies, International Movies";"Chia-Hui Liu, Wong Yu, Jason Pai Piao, Lung Wei Wang, Hoi-Shan Kwan, Feng Ku, San Nam Hung, Kuo Hua Chang, Feng Kuan"
"Charlotte Zwerin";"Thelonious Monk: Straight, No Chaser";"United States";"The spotlight shines on iconic jazz pianist and composer Thelonious Monk in this 1988 documentary featuring vintage performance clips and interviews.";1988;89;"Documentaries, Music & Musicals";"Thelonious Monk, Samuel E. Wright"
"Ellen Page, Ian Daniel";"There's Something in the Water";"Canada";"This documentary spotlights the struggle of minority communities in Nova Scotia as they fight officials over the lethal effects of industrial waste.";2019;72;"Documentaries, International Movies";"Ellen Page"
"Patricia Ferreira";"Thi Mai";"Spain";"Along with her two friends, a determined woman travels to Vietnam to bring home the baby her recently deceased daughter had planned to adopt.";2017;99;"Comedies, Dramas, International Movies";"Carmen Machi, Adriana Ozores, Aitana Sánchez-Gijón, Dani Rovira, Eric Nguyen, Pedro Casablanc, José Troncoso, José Burgos, Ana López, Pedro Miguel Martínez, Nguyen Ngan Ha"
"Taika Waititi";"Thor: Ragnarok";"United States";"To save Asgard from a bloodthirsty goddess of death, the mighty Thor will have to battle his way to freedom and find a way back home.";2017;131;"Action & Adventure, Comedies, Sci-Fi & Fantasy";"Chris Hemsworth, Tom Hiddleston, Cate Blanchett, Idris Elba, Jeff Goldblum, Tessa Thompson, Karl Urban, Mark Ruffalo, Anthony Hopkins, Benedict Cumberbatch, Taika Waititi, Rachel House, Clancy Brown, Tadanobu Asano, Ray Stevenson, Zachary Levi, Luke Hemsworth, Sam Neill"
"Cathy Garcia-Molina";"Three Words to Forever";"Philippines";"As they near their 25th wedding anniversary, Rick and Cristy try to conceal their crumbling marriage while their family prepares for a big celebration.";2018;107;"Comedies, Dramas, International Movies";"Sharon Cuneta, Richard Gomez, Kathryn Bernardo, Liza Lorena, Freddie Webb, Tommy Esguerra, Joross Gamboa, Tobie Dela Cruz"
"Linda Mendoza";"Tiffany Haddish: Black Mitzvah";"United States";"On her 40th birthday, Tiffany Haddish drops a bombastic special studded with singing, dancing and raunchy reflections on her long road to womanhood.";2019;56;"Stand-Up Comedy";"Tiffany Haddish"
"Kristina Goolsby, Ashley York";"Tig";"United States";"Comedian Tig Notaro announced her cancer diagnosis at what became a legendary stand-up set in 2012. Follow her search for humor amid devastating news.";2015;92;"Documentaries, Stand-Up Comedy";"Tig Notaro"
"Li Jun";"Tik Tok";"China";"A police officer and a psychologist learn of a sinister threat at a highly anticipated soccer match and team up in hopes of preventing disaster.";2016;108;"Dramas, International Movies, Thrillers";"Wallace Chung, Jung-jae Lee, Lang Yueting, Chae-yeong Lee"
"Ellen Brown";"Tim Allen: Men Are Pigs";"United States";"Standup comedian Tim Allen delivers a set dedicated to ""men stuff"" like lawn care, power tools and why he grunts like an animal.";1990;30;"Stand-Up Comedy";"Tim Allen"
"Susan Johnson";"To All the Boys I’ve Loved Before";"United States";"When her secret love letters somehow get mailed to each of her five crushes, Lara Jean finds her quiet high school existence turned upside down.";2018;100;"Comedies, International Movies, Romantic Movies";"Lana Condor, Noah Centineo, Janel Parrish, Anna Cathcart, Andrew Bachelor, Trezzo Mahoro, Madaleine Arthur, Israel Broussard, Emilija Baranac, John Corbett"
"Myriam Aziza";"To Each, Her Own";"France";"Just as Simone works up the courage to tell her conservative Jewish family she's a lesbian, she finds herself attracted to a male Senegalese chef.";2018;95;"Comedies, International Movies, LGBTQ Movies";"Sarah Stern, Jean-Christophe Folly, Julia Piaton, Arié Elmaleh, Clémentine Poidatz, Stéphane Debac, Richard Berry, Catherine Jacob"
